amino_acid,mean_rmsd,std_rmsd,median_rmsd,n
ALA,0.29888008806954325,0.16751162186801322,0.26514001346326116,4156
PRO,0.6478019879898477,0.2115277116652349,0.5985962583979919,3675
SER,1.2623108543841728,0.2822945786983629,1.2920808877406862,4156
CYS,1.2784416097218125,0.7241846378751308,1.4361183045732142,612
THR,1.3037959508674066,0.31860826569538603,1.320348794499163,3675
VAL,1.3791519823744791,0.39299761050828264,1.422595103049863,2896
ILE,1.8696100928107962,0.5051889153261614,1.9602555807969604,2896
LEU,1.881280872970071,0.39738255482127666,1.882466950788483,2977
ASP,2.0506539204708765,0.5002676722194841,2.0943313479837253,3556
ASN,2.117891377840638,0.6139013047776645,2.2221504969110124,3375
GLU,2.247927869616284,0.6887056385748711,2.2946824126425094,4056
MET,2.344303010770832,0.6721308992205779,2.32990283094682,2575
GLN,2.4615633967212225,0.49813325843016854,2.5066486569868283,3675
LYS,2.566771530348759,0.7967779552469239,2.617444185239655,3656
HIS,2.8031476265021067,1.140775799943379,2.925182620525023,2546
PHE,3.047365385727287,1.0596800658700618,3.1993571829320797,2975
ARG,3.3929560185523413,0.7351184737229606,3.3929088827804184,3775
TYR,3.4894691238148896,1.1967219639034858,3.7141301342655058,3125
TRP,3.851811292442822,1.54515562980093,3.8402842715252823,443
