ped_id,mean_deviation,max_deviation
PED00003,0.0004803178484142004,0.0008637067512609
PED00006,0.000481500411774182,0.000864784407895
PED00016,0.00048007100000909656,0.0008460031822323
PED00074,0.00047941707037331546,0.0008504122961312
PED00140,0.00048009088826792023,0.0008637067512609
PED00141,0.0004812375122371878,0.000864784407895
PED00142,0.000480234547411716,0.0008546283934265
PED00154,0.0004807439635455566,0.0008546283934265
PED00155,0.0004786776994760968,0.0008481763070449
PED00159,0.00047980000738744055,0.0008634371333755
PED00181,0.000479994832333396,0.0008634371333755
PED00183,0.00048077146368858136,0.0009175596060231
PED00184,0.00048097833212446293,0.0008637067512609
PED00229,0.00047963801040614546,0.0008460031822323
PED00231,0.00047773603503971,0.0008462095865979
PED00233,0.0004817455119346248,0.0008546283934265
PED00238,0.0004816542686917204,0.0008310876437462
PED00442,0.00048124666583131305,0.0008637067512609
PED00468,0.00047980887576113096,0.0008375671459361
PED00483,0.0004794697733237374,0.0008546964963898
PED00484,0.000481295208314342,0.000864784407895
PED00493,0.0004814483556995196,0.0008637067512609
PED00494,0.00048140150981505124,0.0008637067512609
PED00495,0.0004812295646386382,0.0008637067512609
PED00536,0.0004823484741100962,0.0008546283934265
