experimental_group,n_systems,metric,n_with_metric,mean,std,median,min,max
NMR-supported,12,PED->CODLAD backbone RMSD (A),12,0.4919300383962935,0.13908816626808057,0.45253630397113576,0.3688068186660727,0.8895687057991263
NMR-supported,12,PED->CODLAD side-chain RMSD (A),12,2.555744524817982,0.47030417503174415,2.3890851743931902,2.085141981762657,3.3399627906124225
NMR-supported,12,PED reference clash count,12,133.71130658436215,103.54580012314426,137.71666666666667,13.679012345679013,354.29
NMR-supported,12,PED reference rotamer favored (%),12,96.31076068948903,3.6029685468378823,97.49337410805302,89.13580246913581,99.92401960784314
NMR-supported,12,CG->CODLAD clash count,12,145.59016666666665,83.42870299388828,142.20100000000002,23.072,245.226
NMR-supported,12,CG->CODLAD rotamer favored (%),12,81.71084136764648,4.040304625608052,82.80816993464052,74.14736842105263,86.40588235294118
SAXS-only,4,PED->CODLAD backbone RMSD (A),4,0.6254355031881433,0.11069145345170037,0.6594608250988443,0.4651630544549198,0.7176573080999649
SAXS-only,4,PED->CODLAD side-chain RMSD (A),4,2.5327843345188614,0.09852516637344133,2.5061901201915022,2.4472822956758726,2.6714748020165686
SAXS-only,4,PED reference clash count,4,321.9395833333333,346.1701134862234,221.52083333333331,23.05,821.6666666666666
SAXS-only,4,PED reference rotamer favored (%),4,99.70652345224966,0.29848708370210303,99.74805527970871,99.32998324958125,100.0
SAXS-only,4,CG->CODLAD clash count,4,398.2805000000001,436.32682302871706,258.75800000000004,41.176,1034.43
SAXS-only,4,CG->CODLAD rotamer favored (%),4,85.13655686648488,1.7028795045792806,85.56482177666388,82.90526315789474,86.51132075471698
EPR/DEER,3,PED->CODLAD backbone RMSD (A),3,0.5223484211632802,0.0043816976020799705,0.5239798930575111,0.517385035463615,0.525680334968714
EPR/DEER,3,PED->CODLAD side-chain RMSD (A),3,2.8391819056634113,0.0037969705800746283,2.838294020907236,2.83590755124313,2.843344144839869
EPR/DEER,3,PED reference clash count,3,748.6826631983154,8.004576983129235,749.0635451505017,740.4944444444444,756.49
EPR/DEER,3,PED reference rotamer favored (%),3,99.71793024014978,0.01888274048570111,99.7283763558085,99.69613259668508,99.7292817679558
EPR/DEER,3,CG->CODLAD clash count,3,550.868,0.7534958526760582,550.754,550.178,551.672
EPR/DEER,3,CG->CODLAD rotamer favored (%),3,83.1988950276243,0.2078376376497382,83.13591160220994,83.02983425414364,83.43093922651934
idpGAN/CG-derived,4,PED->CODLAD backbone RMSD (A),4,0.7333424519051955,0.03382066485470154,0.7463721119447199,0.6838972131131142,0.7567283706182278
idpGAN/CG-derived,4,PED->CODLAD side-chain RMSD (A),4,2.7975810415883764,0.12374157312220746,2.819483530535336,2.6283579740700485,2.922999131212786
idpGAN/CG-derived,4,PED reference clash count,4,64.3375,37.160689342467904,65.69333333333333,23.14,102.82333333333334
idpGAN/CG-derived,4,PED reference rotamer favored (%),4,96.75423071760792,0.7682408514325877,96.54640687198827,96.08539944903582,97.83870967741936
idpGAN/CG-derived,4,CG->CODLAD clash count,4,175.8885,97.88304380739292,169.625,84.734,279.57
idpGAN/CG-derived,4,CG->CODLAD rotamer favored (%),4,84.64704676001477,1.951506190848284,84.26963740600104,82.94193548387096,87.10697674418604
