condition,method,input,metric,mean_per_system,sem_per_system,n_systems
PED+CODLAD,CODLAD,PED input,Rg (A),30.509132539568828,3.047130830247062,23
PED+CODLAD,CODLAD,PED input,Rama favored (%),90.71850164002221,0.9021700932217859,23
PED+CODLAD,CODLAD,PED input,Rotamer favored (%),84.09229053030798,1.1741227011210182,23
PED+CODLAD,CODLAD,PED input,Cbeta deviation (A),0.10870064097111025,0.004285031817054201,23
PED+CODLAD,CODLAD,PED input,Helix fraction (%),2.871993594093338,0.607759721027175,23
PED+CODLAD,CODLAD,PED input,Trans-Pro phi (deg),-66.2496300999934,5.3248933760910395,23
PED+CODLAD,CODLAD,PED input,Clash count,257.29768997391557,55.854327458402025,23
CG+CODLAD,CODLAD,CALVADOS input,Rg (A),29.95054578883197,2.7054465394714717,23
CG+CODLAD,CODLAD,CALVADOS input,Rama favored (%),86.72484359092387,0.9411653662594289,23
CG+CODLAD,CODLAD,CALVADOS input,Rotamer favored (%),83.01135634785345,0.7014172813189292,23
CG+CODLAD,CODLAD,CALVADOS input,Cbeta deviation (A),0.22593503998098954,0.002685627874816461,23
CG+CODLAD,CODLAD,CALVADOS input,Helix fraction (%),0.032871863481869566,0.005333889726151529,23
CG+CODLAD,CODLAD,CALVADOS input,Trans-Pro phi (deg),-82.63994420525532,0.7028588451726193,23
CG+CODLAD,CODLAD,CALVADOS input,Clash count,247.66791304347825,48.46714679037396,23
PED+PULCHRA,PULCHRA,PED input,Rg (A),30.821663806491426,3.0250114790018827,23
PED+PULCHRA,PULCHRA,PED input,Rama favored (%),91.67540942665478,0.5093154773441547,23
PED+PULCHRA,PULCHRA,PED input,Rotamer favored (%),93.74742215726889,0.3546353687456228,23
PED+PULCHRA,PULCHRA,PED input,Cbeta deviation (A),0.4291185995141959,0.014586718702731363,23
PED+PULCHRA,PULCHRA,PED input,Helix fraction (%),3.216409354748144,0.5711986839841067,23
PED+PULCHRA,PULCHRA,PED input,Trans-Pro phi (deg),-60.9918235375312,2.673217326280697,23
PED+PULCHRA,PULCHRA,PED input,Clash count,377.96528122525604,71.88463444749276,23
CG+PULCHRA,PULCHRA,CALVADOS input,Rg (A),30.244321228039134,2.6786682423196226,23
CG+PULCHRA,PULCHRA,CALVADOS input,Rama favored (%),87.37576517259367,0.7611589211873484,23
CG+PULCHRA,PULCHRA,CALVADOS input,Rotamer favored (%),89.63897016351541,0.2535543435124392,23
CG+PULCHRA,PULCHRA,CALVADOS input,Cbeta deviation (A),0.7178989937990521,0.002521700991611483,23
CG+PULCHRA,PULCHRA,CALVADOS input,Helix fraction (%),0.09700143449972347,0.01325143633031937,23
CG+PULCHRA,PULCHRA,CALVADOS input,Trans-Pro phi (deg),-38.446970707618455,0.7010485488750181,23
CG+PULCHRA,PULCHRA,CALVADOS input,Clash count,392.468,69.66657230011701,23
